X_mean,X_variance,X_skewness,Y_mean,Y_variance,Y_skewness,Z_mean,Z_variance,Z_skewness
0.0,0.547592,-0.888302,0.425617,0.40186,-0.741267,0.627416,0.219467,-0.643903
0.0,0.755342,-0.216646,0.617507,0.164256,0.0618642,0.761801,0.188592,0.376786
0.0,0.813284,0.819782,0.584153,0.848519,-0.14719,0.868891,0.662575,0.218324
0.0,0.765614,0.355918,0.0074159,0.815805,-0.379444,0.504368,0.534399,0.195831
0.0,0.017652,-0.828094,0.0864369,0.544502,-0.436804,0.34503,0.182343,1.04799
0.0,0.688661,0.295962,0.0407419,0.0547918,-0.785642,0.364186,0.267482,1.52128
0.0,0.214461,0.771967,0.811314,0.434372,-0.406445,0.889201,0.324068,-0.0174731
0.0,0.125334,-0.164401,0.192294,0.84696,-0.671826,0.501831,0.30204,0.387218
0.0,0.65748,-0.426216,0.49865,0.278134,-0.55728,0.678547,0.217362,-0.27938
0.0,0.837958,0.804548,0.37778,0.689322,-0.900681,0.719382,0.51159,0.0878974
0.0,0.0680741,0.946455,0.311516,0.525698,-0.0274629,0.488961,0.285048,0.795426
0.0,0.91568,0.958717,0.119182,0.595341,-0.927633,0.558528,0.553668,0.575662
0.0,0.0367816,-0.592009,0.237778,0.353594,0.136823,0.383597,0.191147,1.02219
0.0,0.343364,-0.20919,0.986857,0.19519,0.194514,1.01334,0.178799,0.264988
0.0,0.499999,0.185237,0.039934,0.652358,0.369929,0.446586,0.444605,0.432092
0.0,0.420184,0.561903,0.68123,0.216994,0.772139,0.773042,0.225522,0.721015
